Start Time,Period (min),Number of Messages Received (entries),Number of Messages Sent (entries)
2019-11-09 00:00:00,5,129302,98246
2019-11-09 00:05:00,5,126497,97193
2019-11-09 00:10:00,5,126914,96971
2019-11-09 00:15:00,5,122911,92973
2019-11-09 00:20:00,5,114944,87330
2019-11-09 00:25:00,5,108740,83437
2019-11-09 00:30:00,5,107515,83500
2019-11-09 00:35:00,5,104041,79426
2019-11-09 00:40:00,5,102953,80386
2019-11-09 00:45:00,5,101793,79423
2019-11-09 00:50:00,5,97177,75806
2019-11-09 00:55:00,5,97211,75542
2019-11-09 01:00:00,5,94825,73128
2019-11-09 01:05:00,5,91126,70102
2019-11-09 01:10:00,5,90086,69077
2019-11-09 01:15:00,5,92309,69757
2019-11-09 01:20:00,5,88349,68526
2019-11-09 01:25:00,5,94178,72505
2019-11-09 01:30:00,5,87852,66901
2019-11-09 01:35:00,5,86160,65699
2019-11-09 01:40:00,5,88543,67843
2019-11-09 01:45:00,5,88421,68827
2019-11-09 01:50:00,5,86099,66154
2019-11-09 01:55:00,5,84548,64555
2019-11-09 02:00:00,5,86380,66907
2019-11-09 02:05:00,5,85081,65751
2019-11-09 02:10:00,5,84819,65262
2019-11-09 02:15:00,5,85064,65275
2019-11-09 02:20:00,5,90074,70526
2019-11-09 02:25:00,5,85927,67402
2019-11-09 02:30:00,5,81869,61980
2019-11-09 02:35:00,5,81812,63315
2019-11-09 02:40:00,5,81692,62108
2019-11-09 02:45:00,5,81398,63079
2019-11-09 02:50:00,5,81507,62416
2019-11-09 02:55:00,5,79603,60438
2019-11-09 03:00:00,5,81420,61946
2019-11-09 03:05:00,5,78670,60370
2019-11-09 03:10:00,5,79043,60641
2019-11-09 03:15:00,5,80238,61488
2019-11-09 03:20:00,5,81515,61299
2019-11-09 03:25:00,5,80169,60950
2019-11-09 03:30:00,5,81537,62478
2019-11-09 03:35:00,5,82624,62737
2019-11-09 03:40:00,5,82692,63008
2019-11-09 03:45:00,5,91904,71061
2019-11-09 03:50:00,5,85147,66191
2019-11-09 03:55:00,5,86838,67313
2019-11-09 04:00:00,5,92515,71915
2019-11-09 04:05:00,5,91366,71895
2019-11-09 04:10:00,5,95248,75004
2019-11-09 04:15:00,5,97158,77790
2019-11-09 04:20:00,5,98963,78862
2019-11-09 04:25:00,5,99852,78727
2019-11-09 04:30:00,5,104215,83989
2019-11-09 04:35:00,5,105272,84412
2019-11-09 04:40:00,5,110052,87833
2019-11-09 04:45:00,5,116300,93767
2019-11-09 04:50:00,5,116733,94903
2019-11-09 04:55:00,5,118130,94972
2019-11-09 05:00:00,5,128533,104369
2019-11-09 05:05:00,5,127450,102883
2019-11-09 05:10:00,5,130175,106234
2019-11-09 05:15:00,5,134969,110345
2019-11-09 05:20:00,5,141575,115962
2019-11-09 05:25:00,5,149102,122475
2019-11-09 05:30:00,5,156733,129006
2019-11-09 05:35:00,5,157864,129991
2019-11-09 05:40:00,5,163183,133924
2019-11-09 05:45:00,5,171778,141854
2019-11-09 05:50:00,5,181054,149879
2019-11-09 05:55:00,5,189015,157448
2019-11-09 06:00:00,5,203924,169592
2019-11-09 06:05:00,5,205846,170883
2019-11-09 06:10:00,5,216283,179999
2019-11-09 06:15:00,5,226891,189039
2019-11-09 06:20:00,5,232745,195741
2019-11-09 06:25:00,5,239835,201235
2019-11-09 06:30:00,5,257143,213673
2019-11-09 06:35:00,5,251446,209270
2019-11-09 06:40:00,5,259499,217025
2019-11-09 06:45:00,5,262247,220423
2019-11-09 06:50:00,5,266636,223385
2019-11-09 06:55:00,5,265148,220820
2019-11-09 07:00:00,5,275588,228804
2019-11-09 07:05:00,5,276644,230659
2019-11-09 07:10:00,5,281224,234820
2019-11-09 07:15:00,5,287662,239295
2019-11-09 07:20:00,5,293614,245532
2019-11-09 07:25:00,5,300052,250258
2019-11-09 07:30:00,5,308835,258663
2019-11-09 07:35:00,5,309690,259348
2019-11-09 07:40:00,5,313218,261693
2019-11-09 07:45:00,5,319050,264652
2019-11-09 07:50:00,5,327817,273651
2019-11-09 07:55:00,5,323554,268947
2019-11-09 08:00:00,5,331308,275130
2019-11-09 08:05:00,5,331501,274266
2019-11-09 08:10:00,5,336020,277785
2019-11-09 08:15:00,5,336293,278320
2019-11-09 08:20:00,5,334764,276841
2019-11-09 08:25:00,5,336550,276820
2019-11-09 08:30:00,5,339764,280902
2019-11-09 08:35:00,5,338808,279714
2019-11-09 08:40:00,5,356711,294984
2019-11-09 08:45:00,5,354161,293338
2019-11-09 08:50:00,5,344948,283923
2019-11-09 08:55:00,5,347770,286047
2019-11-09 09:00:00,5,352880,290833
2019-11-09 09:05:00,5,354386,290282
2019-11-09 09:10:00,5,358256,294231
2019-11-09 09:15:00,5,360856,295759
2019-11-09 09:20:00,5,358361,291611
2019-11-09 09:25:00,5,361137,295725
2019-11-09 09:30:00,5,368694,303067
2019-11-09 09:35:00,5,363690,299526
2019-11-09 09:40:00,5,369340,303803
2019-11-09 09:45:00,5,373134,306593
2019-11-09 09:50:00,5,369392,303394
2019-11-09 09:55:00,5,366699,298108
2019-11-09 10:00:00,5,371216,303740
2019-11-09 10:05:00,5,375412,307209
2019-11-09 10:10:00,5,375156,306819
2019-11-09 10:15:00,5,373173,305780
2019-11-09 10:20:00,5,370848,302637
2019-11-09 10:25:00,5,373785,306684
2019-11-09 10:30:00,5,375310,306700
2019-11-09 10:35:00,5,379783,309862
2019-11-09 10:40:00,5,384661,315795
2019-11-09 10:45:00,5,379786,313087
2019-11-09 10:50:00,5,381256,312654
2019-11-09 10:55:00,5,381397,311970
2019-11-09 11:00:00,5,404748,322260
2019-11-09 11:05:00,5,396701,321967
2019-11-09 11:10:00,5,394645,320306
2019-11-09 11:15:00,5,399735,324839
2019-11-09 11:20:00,5,394294,320627
2019-11-09 11:25:00,5,395812,323027
2019-11-09 11:30:00,5,396651,320599
2019-11-09 11:35:00,5,397277,324103
2019-11-09 11:40:00,5,394802,322140
2019-11-09 11:45:00,5,389039,320002
2019-11-09 11:50:00,5,395822,326167
2019-11-09 11:55:00,5,395972,327525
2019-11-09 12:00:00,5,401759,330176
2019-11-09 12:05:00,5,403197,329854
2019-11-09 12:10:00,5,406910,335761
2019-11-09 12:15:00,5,410172,337704
2019-11-09 12:20:00,5,411895,338300
2019-11-09 12:25:00,5,416867,339192
2019-11-09 12:30:00,5,418588,340974
2019-11-09 12:35:00,5,419620,343702
2019-11-09 12:40:00,5,427191,348769
2019-11-09 12:45:00,5,418538,343848
2019-11-09 12:50:00,5,415549,339580
2019-11-09 12:55:00,5,413238,340044
2019-11-09 13:00:00,5,419083,343944
2019-11-09 13:05:00,5,417902,342514
2019-11-09 13:10:00,5,414950,341048
2019-11-09 13:15:00,5,412040,339121
2019-11-09 13:20:00,5,414378,335413
2019-11-09 13:25:00,5,407987,333741
2019-11-09 13:30:00,5,410328,335029
2019-11-09 13:35:00,5,412652,336116
2019-11-09 13:40:00,5,413709,335685
2019-11-09 13:45:00,5,404506,329934
2019-11-09 13:50:00,5,397175,326023
2019-11-09 13:55:00,5,398300,328517
2019-11-09 14:00:00,5,399320,326510
2019-11-09 14:05:00,5,399026,325615
2019-11-09 14:10:00,5,394768,324639
2019-11-09 14:15:00,5,393469,322685
2019-11-09 14:20:00,5,398748,326870
2019-11-09 14:25:00,5,386574,319053
2019-11-09 14:30:00,5,384497,319455
2019-11-09 14:35:00,5,383140,317972
2019-11-09 14:40:00,5,378994,314842
2019-11-09 14:45:00,5,381941,316578
2019-11-09 14:50:00,5,383265,318846
2019-11-09 14:55:00,5,381324,315858
2019-11-09 15:00:00,5,383484,318162
2019-11-09 15:05:00,5,385571,319188
2019-11-09 15:10:00,5,383700,319186
2019-11-09 15:15:00,5,385033,321319
2019-11-09 15:20:00,5,382047,316869
2019-11-09 15:25:00,5,381249,317908
2019-11-09 15:30:00,5,380346,316021
2019-11-09 15:35:00,5,382625,317881
2019-11-09 15:40:00,5,380856,316225
2019-11-09 15:45:00,5,382686,318639
2019-11-09 15:50:00,5,373941,311060
2019-11-09 15:55:00,5,378596,312733
2019-11-09 16:00:00,5,382026,317131
2019-11-09 16:05:00,5,378870,314626
2019-11-09 16:10:00,5,374708,310580
2019-11-09 16:15:00,5,379229,314620
2019-11-09 16:20:00,5,379449,314429
2019-11-09 16:25:00,5,381337,317019
2019-11-09 16:30:00,5,380778,316580
2019-11-09 16:35:00,5,378750,313655
2019-11-09 16:40:00,5,377191,313600
2019-11-09 16:45:00,5,383429,318504
2019-11-09 16:50:00,5,388702,322278
2019-11-09 16:55:00,5,393226,325628
2019-11-09 17:00:00,5,394006,328381
2019-11-09 17:05:00,5,397886,331199
2019-11-09 17:10:00,5,398913,331242
2019-11-09 17:15:00,5,397981,330804
2019-11-09 17:20:00,5,393020,326294
2019-11-09 17:25:00,5,388420,322919
2019-11-09 17:30:00,5,397546,329390
2019-11-09 17:35:00,5,393185,325403
